"","BTC/IDR","BTC/IDR","Luno","03/28/2021","Jual","50000000.00000000","816.999.000","03/28/2021","817.000.000","-0,00%","-Rp50.000.000.000,00"
"","Bitcoin","BTC/USD","Investing.com","03/28/2021","Beli","1000000000.00000000","55.984,9","03/28/2021","56.004,5","0,04%","Rp283.807.999.971.025,50"
"","ETH/USD","ETH/USD","Binance","03/27/2021","Jual","1000000.00000000","1.670,34","03/28/2021","1.708,80","-2,30%","-Rp556.900.814.480,00"
"","ETH/JPY","ETH/JPY","Bitfinex","03/27/2021","Jual","1000000.00000000","183.187","03/28/2021","187.430","-2,32%","-Rp556.851.334.393,09"
"","BTC/IDR","BTC/IDR","Luno","03/28/2021","Jual","100000000.00000000","815.202.000","03/28/2021","816.999.000","-0,22%","-Rp100.000.000.000.000,00"
"","BTC/IDR","BTC/IDR","Luno","03/28/2021","Jual","200000000.00000000","816.999.000","03/28/2021","816.999.000","0,00%","-Rp14.417,50"
"","ETH/IDR","ETH/IDR","Luno","03/27/2021","Jual","1000000.00000000","24.514.000","03/28/2021","24.914.000","-1,63%","-Rp400.000.014.417,50"
"","ETH/GBP","ETH/GBP","Coinbase Pro","03/27/2021","Jual","1000000000.00000000","1.219,17","03/28/2021","1.239,68","-1,68%","-Rp408.087.470.028.850,00"
"","Bitcoin IDR Index","BTC/IDR","Investing.com","03/27/2021","Beli","1000000000.00000000","798.272.893","03/28/2021","814.657.355","2,05%","Rp100.000.000.000.000,00"
"","ETH/GBP","ETH/GBP","Coinbase Pro","03/27/2021","Jual","1000000.00000000","1.211,87","03/27/2021","1.219,17","-0,60%","-Rp145.248.114.423,34"
"","Bitcoin AUD Index","BTC/AUD","Investing.com","03/27/2021","Jual","1000000000.00000000","71.669,1","03/27/2021","71.669,1","0,00%","Rp0,00"
"","BTC/USD","BTC/USD","Binance","03/27/2021","Jual","1000000.00000000","54.182,1","03/27/2021","54.651,8","-0,87%","-Rp6.801.256.014.480,00"
"","BTC/USD","BTC/USD","Coinbase Pro","03/27/2021","Jual","1000000.00000000","54.271,1","03/27/2021","54.671,6","-0,74%","-Rp5.799.240.014.480,00"
"","Xaurum BTC Index","XAUR/BTC","Investing.com","03/27/2021","Jual","1000000000.00000000","0,00000036","03/27/2021","0,00000040","-11,11%","-Rp33.833.880.000,00"
"","BTC/IDR","BTC/IDR","Luno","03/27/2021","Jual","10000000.00000000","799.800.000","03/27/2021","794.126.000","0,71%","Rp56.739.999.985.582,00"
"","Bitcoin IDR Index","BTC/IDR","Investing.com","03/27/2021","Beli","1000000000.00000000","794.579.931","03/27/2021","794.579.046","-0,00%","-Rp885.000.001.000,00"
"","BTC/USD","BTC/USD","Binance","03/27/2021","Jual","1000000.00000000","54.152,6","03/27/2021","54.175,1","-0,04%","-Rp325.800.173.760,00"
"","BTC/USD","BTC/USD","Binance","03/27/2021","Jual","100000000.00000000","54.832,3","03/27/2021","54.152,6","12,40%","Rp984.205.599.826.240,00"
"","BTC/USD","BTC/USD","Bitfinex","03/27/2021","Jual","30000000.00000000","54.931,0","03/27/2021","54.175,0","13,76%","Rp328.406.399.826.240,00"
"","BTC/IDR","BTC/IDR","Luno","03/27/2021","Jual","100000000.00000000","802.190.000","03/27/2021","802.059.000","0,16%","Rp13.100.000.000.000,00"
"","ETH/XAU","ETH/XAU","Synthetic","03/27/2021","Jual","100000000.00000000","0,97608","03/27/2021","0,97621","-0,13%","-Rp3.171.552.946,38"
"","BTC/USD","BTC/USD","Binance","03/27/2021","Jual","100000000.00000000","54.846,5","03/27/2021","54.793,6","0,96%","Rp76.599.199.985.521,45"
"","ETH/XAU","ETH/XAU","Synthetic","03/27/2021","Jual","100000000.00000000","0,98145","03/27/2021","0,97568","0,59%","Rp140.768.150.980,43"
"","BTC/IDR","BTC/IDR","Luno","03/27/2021","Jual","1000000000.00000000","803.997.000","03/27/2021","803.997.000","0,00%","Rp0,00"
"","BTC/IDR","BTC/IDR","Luno","03/27/2021","Jual","1000000000.00000000","801.303.000","03/27/2021","802.000.000","-0,09%","-Rp100.000.000.000.000,00"
"","Bitcoin IDR Index","BTC/IDR","Investing.com","03/27/2021","Beli","1000000000.00000000","805.930.300","03/27/2021","805.926.788","-0,00%","-Rp3.512.000.000.100,00"
"","BTC/IDR","BTC/IDR","Luno","03/27/2021","Jual","50000.00000000","801.999.000","03/27/2021","802.000.000","-0,00%","-Rp50.000.000,00"
"","BTC/IDR","BTC/IDR","BitcoinIndonesia","03/27/2021","Jual","50000.00000000","805.000.000","03/27/2021","806.368.000","-0,17%","-Rp68.400.000.144,20"
"","BTC/IDR","BTC/IDR","BitcoinIndonesia","03/27/2021","Jual","50000.00000000","805.000.000","03/27/2021","806.368.000","-0,17%","-Rp68.400.000.144,20"
"","BTC/IDR","BTC/IDR","BitcoinIndonesia","03/27/2021","Jual","50000.00000000","805.000.000","03/27/2021","805.808.000","-0,10%","-Rp40.400.000.144,20"
